Patients,B cells ,Plasma cells,CD8+ T cells,CD4+ T  naive,CD4+ T cells,Tregs,T gamma delta,NK cells ,Monocytes,M0,M1,M2,Dendritic cells,Mast Cells,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-61-1910-01,0.010706965,0.011248837,0.014983804,0,0.121834107,0.040251907,0,0.057044571,0,0.330965352,0.086413193,0.277061723,0.003200713,0.044546662,0,0.001742165,0,0.489890235,0.873579897
TCGA-61-1728-01,0.024906876,0.060641148,0,0,0.229945157,0.037878704,0,0.046470525,0.02056388,0.316565286,0.039055783,0.201251279,0,0.02206751,0.00065385,0,0,0.606840809,0.802477956
TCGA-09-1666-01,0.052972808,0.019188024,0.015840164,0,0.282868443,0.041839974,0,0.050446617,0,0.166545184,0.119535575,0.231024803,0,0.016356855,0,0.003381553,0,0.613813676,0.802462035
TCGA-24-1469-01,0.051904876,0.054207116,0,0,0.249326004,0.064050313,0,0.059424937,0,0.31547116,0.071884145,0.130029908,0,0.00370154,0,0,0,0.637899928,0.785217238
TCGA-04-1348-01,0.028730199,0.011594109,0.080796734,0,0.268463573,0.092297926,0,0.058747179,0.0321666,0.164292551,0.08846881,0.169997806,0,0.004444514,0,0,0,0.702422603,0.749162884
TCGA-61-1917-01,0.037384888,0.015828147,0.050560263,0,0.159288899,0.076747391,0,0.053872027,0.029064807,0.239702743,0.082446304,0.242859861,0,0.01224467,0,0,0,0.777530239,0.694283142
TCGA-61-2009-01,0.0062435,0.066561092,0.076162224,0,0.247635577,0.006138668,0,0.020152526,0.018208432,0.103377966,0.085807889,0.308679207,0.026961603,0.027827422,0,0.006243894,0,0.709521982,0.75347016
TCGA-31-1950-01,0.053502352,0.151035566,0.030104854,0,0.16985832,0.096346614,0,0.032194405,0.028217778,0.028468343,0.121655993,0.182040549,0.060383205,0.043854045,0,0.002337977,0,0.404183093,0.913881325
TCGA-31-1951-01,0.043486871,0.042544148,0.011874144,0,0.281102111,0.038930023,0,0.08537037,0.025673163,0.162549575,0.133696626,0.165409163,0.003134463,0.005351602,0,0.00087774,0,0.555746764,0.836172927
TCGA-61-1995-01,0.008348635,0.006604786,0.049662894,0,0.262647394,0.119377323,0,0.026339309,0.02429809,0.111342807,0.041622783,0.330007547,4.0092E-05,0.019708339,0,0,0,0.521200661,0.854977157
